game_id,developer_id,publisher_id,platform_id,release_date
10,VD,VP,WML,11/1/2000
20,VD,VP,WML,4/1/1999
30,VD,VP,WML,5/1/2003
40,VD,VP,WML,6/1/2001
60,VD,VP,WML,11/1/2000
70,VD,VP,WML,11/8/1998
80,VD,VP,WML,3/1/2004
220,VD,VP,WML,11/16/2004
240,VD,VP,WML,11/1/2004
280,VD,VP,WML,6/1/2004
300,VD,VP,WML,7/12/2010
320,VD,VP,WML,11/1/2004
340,VD,VP,WML,10/27/2005
360,VD,VP,WML,5/1/2006
380,VD,VP,WML,6/1/2006
400,VD,VP,WML,10/10/2007
420,VD,VP,WML,10/10/2007
440,VD,VP,WML,10/10/2007
500,VD,VP,WM,11/17/2008
550,VD,VP,WML,11/19/2009
570,VD,VP,WML,7/9/2013
620,VD,VP,WML,4/18/2011
630,VD,VP,W,7/19/2010
730,VHPED,VP,WML,8/21/2012
1840,VD,VP,W,7/10/2012
273110,VD,NKCP,W,10/7/2014
450390,VD,VP,W,4/5/2016
583950,VD,VP,WML,11/28/2018
