genre_id,genres,,,,,,,,,,,,,
AFM,Action;FPS;Multiplayer,,,,,,,,,,,,,
FWM,FPS;World War II;Multiplayer,,,,,,,,,,,,,
FCA,FPS;Classic;Action,,,,,,,,,,,,,
FAS,FPS;Action;Sci-fi,,,,,,,,,,,,,
PFS,Puzzle;First-Person;Singleplayer,,,,,,,,,,,,,
FMF,Free to Play;Multiplayer;FPS,,,,,,,,,Classic,,,,
ZCF,Zombies;Co-op;FPS,,,,,,,,,,,,,
PCF,Free to Play;MOBA;Strategy,,,,,,,,,,,,,
PCF,Puzzle;Co-op;First-Person,,,,,,,,,,,,,
FCA,Free to Play;Co-op;Action,,,,,,,,,,,,,
FMST,FPS;Multiplayer;Shooter,,,,,,,,,,,,,
AVF,Animation & Modeling;Video Production;Free to Play,,,,,,,,,,,,,
FZM,Free to Play;Zombies;Multiplayer,,,,,,,,,,,,,
FVA,Free to Play;VR;Action,,,,,,,,,,,,,
CTS,Card Game;Trading Card Game;Strategy,,,,,,,,,,,,,
AFS,FPS;Action;Singleplayer,,,,,,,,,,,,First-Person,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,First-Person
,,,,,,,,,,,,,,
,,,,,,,,,,,Video Production,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,VR
,,,,,,,,,,,,Trading Card Game,Strategy,
