game_id,name,release_date,developer,publisher,platforms,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price
10,Counter-Strike,11/1/2000,Valve,Valve,windows;mac;linux,Action,Action;FPS;Multiplayer,0,124534,3339,17612,317,7.19
20,Team Fortress Classic,4/1/1999,Valve,Valve,windows;mac;linux,Action,Action;FPS;Multiplayer,0,3318,633,277,62,3.99
30,Day of Defeat,5/1/2003,Valve,Valve,windows;mac;linux,Action,FPS;World War II;Multiplayer,0,3416,398,187,34,3.99
40,Deathmatch Classic,6/1/2001,Valve,Valve,windows;mac;linux,Action,Action;FPS;Multiplayer,0,1273,267,258,184,3.99
60,Ricochet,11/1/2000,Valve,Valve,windows;mac;linux,Action,Action;FPS;Multiplayer,0,2758,684,175,10,3.99
70,Half-Life,11/8/1998,Valve,Valve,windows;mac;linux,Action,FPS;Classic;Action,0,27755,1100,1300,83,7.19
80,Counter-Strike: Condition Zero,3/1/2004,Valve,Valve,windows;mac;linux,Action,Action;FPS;Multiplayer,0,12120,1439,427,43,7.19
220,Half-Life 2,11/16/2004,Valve,Valve,windows;mac;linux,Action,FPS;Action;Sci-fi,33,67902,2419,691,402,7.19
240,Counter-Strike: Source,11/1/2004,Valve,Valve,windows;mac;linux,Action,Action;FPS;Multiplayer,147,76640,3497,6842,400,7.19
280,Half-Life: Source,6/1/2004,Valve,Valve,windows;mac;linux,Action,FPS;Action;Sci-fi,0,3767,1053,190,214,0
300,Day of Defeat: Source,7/12/2010,Valve,Valve,windows;mac;linux,Action,FPS;World War II;Multiplayer,54,10489,1210,1356,134,7.19
320,Half-Life 2: Deathmatch,11/1/2004,Valve,Valve,windows;mac;linux,Action,Action;FPS;Multiplayer,0,6020,787,311,32,3.99
340,Half-Life 2: Lost Coast,10/27/2005,Valve,Valve,windows;mac;linux,Action,FPS;Action;Singleplayer,0,5783,1020,46,29,0
360,Half-Life Deathmatch: Source,5/1/2006,Valve,Valve,windows;mac;linux,Action,Action;FPS;Multiplayer,0,1362,473,102,81,0
380,Half-Life 2: Episode One,6/1/2006,Valve,Valve,windows;mac;linux,Action,FPS;Action;Sci-fi,13,7908,517,281,184,5.79
400,Portal,10/10/2007,Valve,Valve,windows;mac;linux,Action,Puzzle;First-Person;Singleplayer,15,51801,1080,288,137,7.19
420,Half-Life 2: Episode Two,10/10/2007,Valve,Valve,windows;mac;linux,Action,FPS;Action;Sci-fi,22,13902,696,354,301,5.79
440,Team Fortress 2,10/10/2007,Valve,Valve,windows;mac;linux,Action;Free to Play,Free to Play;Multiplayer;FPS,520,515879,34036,8495,623,0
500,Left 4 Dead,11/17/2008,Valve,Valve,windows;mac,Action,Zombies;Co-op;FPS,73,17951,948,897,278,7.19
550,Left 4 Dead 2,11/19/2009,Valve,Valve,windows;mac;linux,Action,Zombies;Co-op;FPS,70,251789,8418,1615,566,7.19
570,Dota 2,7/9/2013,Valve,Valve,windows;mac;linux,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,0,863507,142079,23944,801,0
620,Portal 2,4/18/2011,Valve,Valve,windows;mac;linux,Action;Adventure,Puzzle;Co-op;First-Person,51,138220,1891,1102,520,7.19
630,Alien Swarm,7/19/2010,Valve,Valve,windows,Action,Free to Play;Co-op;Action,66,17435,941,371,83,0
730,Counter-Strike: Global Offensive,8/21/2012,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,Action;Free to Play,FPS;Multiplayer;Shooter,167,2644404,402313,22494,6502,0
1840,Source Filmmaker,7/10/2012,Valve,Valve,windows,Animation & Modeling;Video Production,Animation & Modeling;Video Production;Free to Play,0,15083,1111,239,77,0
273110,Counter-Strike Nexon: Zombies,10/7/2014,"Valve Corporation, Nexon Korea Corporation",Nexon Korea Corporation,windows,Action;Casual;Free to Play;Massively Multiplayer,Free to Play;Zombies;Multiplayer,65,22130,12127,4047,112,0
450390,The Lab,4/5/2016,Valve,Valve,windows,Free to Play,Free to Play;VR;Action,0,2926,145,95,127,0
583950,Artifact,11/28/2018,Valve,Valve,windows;mac;linux,Strategy,Card Game;Trading Card Game;Strategy,0,9937,10501,1797,1616,15.99
