game_id,name,release_date,developer,publisher,platforms,genres,achievements,positive_ratings,negative_ratings,average_playtime,price
10,Counter-Strike,11/1/2000,Valve,Valve,windows;mac;linux,Action;FPS;Multiplayer,0,124534,3339,17612,7.19
20,Team Fortress Classic,4/1/1999,Valve,Valve,windows;mac;linux,Action;FPS;Multiplayer,0,3318,633,277,3.99
30,Day of Defeat,5/1/2003,Valve,Valve,windows;mac;linux,FPS;World War II;Multiplayer,0,3416,398,187,3.99
730,Counter-Strike: Global Offensive,8/21/2012,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,FPS;Multiplayer;Shooter,167,2644404,402313,22494,0
1840,Source Filmmaker,7/10/2012,Valve,Valve,windows,Animation & Modeling;Video Production;Free to Play,0,15083,1111,239,0
273110,Counter-Strike Nexon: Zombies,10/7/2014,"Valve                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Corporation, Nexon Korea Corporation",Nexon Korea Corporation,windows,Free to Play;Zombies;Multiplayer,65,22130,12127,4047,0
40,Deathmatch Classic,6/1/2001,Valve,Valve,windows;mac;linux,Action;FPS;Multiplayer,0,1273,267,258,3.99
60,Ricochet,11/1/2000,Valve,Valve,windows;mac;linux,Action;FPS;Multiplayer,0,2758,684,175,3.99
70,Half-Life,11/8/1998,Valve,Valve,windows;mac;linux,FPS;Classic;Action,0,27755,1100,1300,7.19
80,Counter-Strike: Condition Zero,3/1/2004,Valve,Valve,windows;mac;linux,Action;FPS;Multiplayer,0,12120,1439,427,7.19
220,Half-Life 2,11/16/2004,Valve,Valve,windows;mac;linux,FPS;Action;Sci-fi,33,67902,2419,691,7.19
240,Counter-Strike: Source,11/1/2004,Valve,Valve,windows;mac;linux,Action;FPS;Multiplayer,147,76640,3497,6842,7.19
280,Half-Life: Source,6/1/2004,Valve,Valve,windows;mac;linux,FPS;Action;Sci-fi,0,3767,1053,190,0
300,Day of Defeat: Source,7/12/2010,Valve,Valve,windows;mac;linux,FPS;World War II;Multiplayer,54,10489,1210,1356,7.19
320,Half-Life 2: Deathmatch,11/1/2004,Valve,Valve,windows;mac;linux,Action;FPS;Multiplayer,0,6020,787,311,3.99
340,Half-Life 2: Lost Coast,10/27/2005,Valve,Valve,windows;mac;linux,FPS;Action;Singleplayer,0,5783,1020,46,0
360,Half-Life Deathmatch: Source,5/1/2006,Valve,Valve,windows;mac;linux,Action;FPS;Multiplayer,0,1362,473,102,0
380,Half-Life 2: Episode One,6/1/2006,Valve,Valve,windows;mac;linux,FPS;Action;Sci-fi,13,7908,517,281,5.79
400,Portal,10/10/2007,Valve,Valve,windows;mac;linux,Puzzle;First-Person;Singleplayer,15,51801,1080,288,7.19
420,Half-Life 2: Episode Two,10/10/2007,Valve,Valve,windows;mac;linux,FPS;Action;Sci-fi,22,13902,696,354,5.79
440,Team Fortress 2,10/10/2007,Valve,Valve,windows;mac;linux,Free to Play;Multiplayer;FPS,520,515879,34036,8495,0
500,Left 4 Dead,11/17/2008,Valve,Valve,windows;mac,Zombies;Co-op;FPS,73,17951,948,897,7.19
550,Left 4 Dead 2,11/19/2009,Valve,Valve,windows;mac;linux,Zombies;Co-op;FPS,70,251789,8418,1615,7.19
570,Dota 2,7/9/2013,Valve,Valve,windows;mac;linux,Free to Play;MOBA;Strategy,0,863507,142079,23944,0
620,Portal 2,4/18/2011,Valve,Valve,windows;mac;linux,Puzzle;Co-op;First-Person,51,138220,1891,1102,7.19
630,Alien Swarm,7/19/2010,Valve,Valve,windows,Free to Play;Co-op;Action,66,17435,941,371,0
